,train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
1004018,1004018,Younique bundle,1,Beauty/Makeup/Makeup Sets,,40.0,1,Younique glorious face and eye primer and moodstruck addiction palette 2. Works amazing together. Sealed and in original package. Lasts up to 12 months. Primer is [rm] originally and the palette is [rm] originally.
873458,873458,Sweet peach too faced palette,1,Beauty/Makeup/Makeup Palettes,,18.0,1,Brand new! Authentic Will not lower price Fast shipping!
24669,24669,Lularoe classic t size small NWOT,1,Women/Tops & Blouses/T-Shirts,,18.0,1,Soft cotton. Beautiful green color
538932,538932,Miss me skinny jeans size 32,3,"Women/Jeans/Slim, Skinny",Miss Me,26.0,0,Very cute miss me skinny jeans size 32. No defects just too small for me. All items are from a smoke free home. I will bundle. Please check out my other great items for sale.
1126689,1126689,Beautiful 34E Claudette London bra NWT,1,Women/Underwear/Bras,Victoria's Secret,15.0,1,"Brand new with tags Claudette London bra (not VS). Fit is true to size, but unfortunately I outgrew it before I could wear it."
1172786,1172786,army green flannel,2,Women/Tops & Blouses/Button Down Shirt,,10.0,1,love this so much but no longer fits me :(
1042709,1042709,Nyx honey dew me up,2,Beauty/Makeup/Face,,13.0,1,Almost full Authentic
708178,708178,New banzai twin curve water slide,1,Sports & Outdoors/Outdoors/Water Sports,,17.0,0,New never opened banzai twin curve water slide
40692,40692,Ted Baker iPad Mini Case,2,Women/Women's Accessories/Other,Ted Baker London,25.0,0,In perfect condition! Hot pink with rose gold hardware. Fits all iPad Mini generations.
543227,543227,Betsey Johnson Bow Earrings,3,Women/Jewelry/Earrings,Betsey Johnson,9.0,0,Originally purchased for [rm]. Lightly worn.
1314484,1314484,L'Oréal True Match,1,Beauty/Makeup/Face,L'Oreal,9.0,0,"L'Oréal True Match Brand New Ships Same day Monday-Friday if bought before 3 pm. N8 Shade Cappuccino Shade ""Neutral"""
944489,944489,Bass Pro Long sleeve Camo,3,Women/Tops & Blouses/T-Shirts,,13.0,0,Good condition
195940,195940,Teal Hunter boots,3,Women/Shoes/Boots,Hunter,85.0,1,Bought these and they were too small. Gently used in great condition! They are a very popular color! They are a big kids size 3 which is a 5 not a 5.5!
391384,391384,HOLD Bundle for Countrymomma43,3,Kids/Boys 0-24 Mos/One-Pieces,,12.0,0,Bear sleeper Size 12 months Grey and white And red rivet jeans Size 11
1306335,1306335,30 - 10X13 PolyMailers,1,Other/Office supplies/Shipping Supplies,,8.0,1,"‼️Best Shipping Labels you'll find JAM FREE‼️ 80 HIGH QUALITY Blank Self Adhesive Shipping Labels on 40 sheets Blank Round Corner Self Adhesive Shipping Labels. 2 labels per sheet. *****‼️NOT pre-paid‼️***** ***Can also add on to any listing to save you money*** These replace your printer paper to print your postage/tracking on. They save time, make your packages look nicer, and requires NO cutting or taping! No need to change printer settings! USPS, UPS, FedEX approved ***DIRECTIONS FOR USE*** 1️⃣Place sheet in printer. 2️⃣Print postage as normal. 3️⃣Peel & Stick label to package. ***PRICING*** 30 = [rm] 40 = [rm] 50 = [rm] 60 = [rm] 80'= [rm] 100 = [rm] & [rm] ship = [rm] 120 = [rm] & [rm] ship = [rm] @MrsCoolBreeze PRICE IS FIRM"
54456,54456,Michael Kors Flip Flops,1,Women/Shoes/Sandals,Michael Kors,26.0,0,Brand new Size 8 I normally wear 7- 7 1/2 and they fit me I have two pairs both size 8
1086297,1086297,Lularoe XS Carly Floral print BNWT,1,Women/Dresses/Asymmetrical Hem,LuLaRoe,40.0,1,Gorgeous floral print.. Brand new
1116268,1116268,Gucci Lillian suede oxford pumps 37 NIB,1,Women/Shoes/Pumps,Gucci,345.0,0,"Brand new in box, and cloth bag included. Gucci nude pumps, suede lining, leather lining and sole, padded insole, made in Italy, authentic. Self covered heel, 4.25', 110cm"
249610,249610,La vie est belle 1.0oz,1,Beauty/Fragrance/Women,Lancome,48.0,1,Full bottle No box Authentic Never used
384331,384331,Lacoste wind breaker jacket,2,Women/Coats & Jackets/Windbreaker,Lacoste,20.0,1,Excellent condition. Came w/a hood but I got no idea what i did with it. Zipper is hidden so u can tell. Bought it for over [rm] dls and is way too small for me now. Size 38 in lacoste sizing. Please make sure u are familiar with sizing. Fits like a reg small. 4-6 Price is firm No trades
1278449,1278449,Rae Dunn Bundle,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Rae Dunn,69.0,0,"Brand new Rae Dunn Coffee Canister, Caffeine Mug plain inside and Tea mug with blue inside. As with all Rae Dunn items may have intentional flaws. Not responsible after shipping, all claims must be made buy buyer with usps."
841110,841110,MCM White Gold Buckle,1,Men/Men's Accessories/Belts,,57.0,1,"MCM White with Gold Buckle comes with Box, Dustbag and Card. Sizes available 29-42 !!!FREE SHIPPING!!! I Ship Same Day you pay or Next Day the latest. Satisfaction Guaranteed!!! Check out my other Offers! ***SERIOUS BUYERS ONLY*** If you're not Buying Keep Scrolling..."
5206,5206,Boys MSR AXXIS Motorcross ATV Pants 20,2,Kids/Boys (4+)/Bottoms,,24.0,0,Good Used Condition some minor spotting as shown in the photos. Size 20 Waist 20 Length 25 Inseam 19
1023855,1023855,Nike slimfit workout Tee,3,Women/Tops & Blouses/T-Shirts,,9.0,0,Xxl navy and pink slim fit workout shirt in very good condition.
1059569,1059569,Betsey Johnson,3,Women/Women's Handbags/Shoulder Bag,Betsey Johnson,16.0,0,Leopard Betsey Shoulder handbag Handles have slight peeling/cracking on underside of them (shown in picture 2) No rips No stains
1245594,1245594,American Eagle Jeggings,2,"Women/Jeans/Slim, Skinny",American Eagle,22.0,1,Barely worn and it's in great condition!!! Material is very soft and stretchy (53% Cotton 24% Viscose 19% Lyocell 4% Elastane). These are a size 12 Short.
1038894,1038894,Light Blue Denim Vans with Purple Trim,3,Women/Shoes/Fashion Sneakers,VANS,11.0,0,Good clean used condition Only worn a few times then my kids took laces out for their Vans No laces Men's 6.5 Woman's 8 No odors - smoke free home No free shipping No holds *******Going on vacation. No shipping between 8/1-8/6. Item will ship on 8/7*******
1294965,1294965,3 new L vs pink boy shorts,1,Women/Underwear/Panties,PINK,21.0,1,All 3 are NWT Lowest price includes fees No offers please Last two in first pick and red ones
405367,405367,2 Starbucks whole bean bags,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Starbucks,18.0,0,Holiday Blend 2016 expires April 24 2017 medium roast Christmas Blend vintage 2016 expires May 02 2017 dark roast Selling both bags together
909134,909134,Sephora Limited Edition Brush Set,1,Beauty/Tools & Accessories/Makeup Brushes & Tools,Sephora,40.0,1,No description yet
617059,617059,M) English League soccer socks 8 pairs,1,Sports & Outdoors/Team Sports/Soccer,,20.0,1,MENS SIZE: All medium ______________________________________ Teams: 2 Arsenal 2 Chelsea 2 Manchester united 2 Manchester City FEATURES: Condition: Brand New Tags (NEVER USED OR WORN) Patch: Yes Logo: Embroidery Authentic: YES ________________________________________ Hi there! Alfomart is Top rated sellers in: ☆Customer service :-) & Easy returns ☆FAST shipping! ☆Excellent Quality ♡♡ Checkout our page and follow us for updates & see what our customers are saying. Thank you for stopping by! :) ________________________________________ SHIPPING: ●Ships out in 1 Business day. ●Delivery time is 2-4 business days depending on your location. ________________________________________ Tags: #futol #soccer #fifa #football #jersey #shirt #tshirt #mens #tops #sports #player #Authentic #player #fans #team sports #Sporting goods #sports #2016/17 #16/17 #2016 #2017 #new #with tag # Patch #
1324859,1324859,LuLaRoe TC Wonder Woman leggings,1,"Women/Athletic Apparel/Pants, Tights, Leggings",Independent,54.0,0,"These leggings are part of LuLaRoe's exclusive Americana capsule from Summer 2016. HTF print. Brand new, never worn. Asking less than what was originally paid. TC leggings fit women's size 12-22/24."
129027,129027,Starter Waxing Kit,2,Beauty/Tools & Accessories/Waxing,,41.0,0,"Stater waxing kit. Used only a couple times. Comes with Kit contains: 1 wax warmer with cover (14 ounce), 1 all-purpose honee (14 ounce), 1 pre hon (4 ounce), 1 pre epilation powder (2.5 ounce), 1 wax off (4 ounce), 1 slow grow (4 ounce), petite applicators, small accu edge applicators, small natural muslin strips, and large natural muslin strips."
61156,61156,Nike Golf Hat,2,Men/Men's Accessories/Hats,Nike,20.0,0,Nike Golf Hat Color: grey Bought it but never used it
161360,161360,Blush Pink Peasant style dress,2,"Women/Dresses/Above Knee, Mini",FOREVER 21,10.0,0,"Blush pink, see through material with sewn-in slip. Very sweet cute dress, never worn. From forever 21 Tags: unif, brandy melville, target, rue, forever 21, feline, free people, west elm, asos, o mighty, gypsy warrior, grunge, Tumblr"
630196,630196,Beach Cover Up NEW,1,Women/Swimwear/Cover-Ups,,14.0,0,This is a size LARGE NEVER BEEN WORN
230115,230115,Halloween outfit 3M,3,Kids/Girls 0-24 Mos/One-Pieces,,11.0,0,"Gently used outfit. Onesie, pants and socks. Size 3M"
292421,292421,Bundle for customer,3,Beauty/Makeup/Lips,,51.0,0,Bundle includes Kylie Lip Kit color Kourt K [rm] And 4 charms in photo (Juicy Couture) [rm]
139816,139816,Reserved for Lucero,2,Women/Jewelry/Earrings,Swarovski,49.0,0,Beautiful Swarovski Crystal Earrings
187811,187811,Nike Socks Dri-Fit Wm M 8 pair,2,Women/Athletic Apparel/Socks,Nike,20.0,1,8 pairs of women's dri fit socks size M. NEW without the packaging. Perfect for size 7-9.
1346203,1346203,LL Bean Backpack,3,Sports & Outdoors/Outdoors/Hiking & Camping,Under Armour,26.0,0,"LL Bean brand backpack, has 4 zipper compartments, all zippers and straps work, 2 water bottle holders- one on each side. Bag is waterproof Great for school or a day hike! The bag is used and has minimal wear, but is completely functional! Sorry, no free shipping! **I am open to *reasonable* offers, if you make and offer you must be ready to purchase at that time! It will not find LL Bean as a brand for some reason so I listed this as UA for exposure!"
621,621,Kids wall abc canvas,3,Home/Kids' Home Store/Kids' Room Décor,,31.0,0,Kids or baby animal wall abc canvas 3 foot 3 by 1 foot 10
1225680,1225680,3/4 sleeve awesome shirt,3,Kids/Girls 2T-5T/Tops & T-Shirts,Osh Kosh B'gosh,5.0,1,"Navy blue with pink ""awesome"". Good condition. Sleeves roll with button."
748037,748037,Silver Steel color case - iPhone 5 5S SE,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",,4.0,1,One more high quality and sturdy case in steel silver metallic color. Has a hard metallic component and a rubbery interior component for great protection and looks. This is one of the more expensive quality cases that I'm offering super cheap since I have a couple. I ship for free and I'm 100% legit.
115009,115009,Michael Kors Black Crossbody!,3,Women/Women's Handbags/Messenger & Crossbody,Michael Kors,40.0,1,"cute crossbody! i'm trying to support a new bag purchased, so I'm getting rid of my older ones. This is in good condition there is some minor tarnishing on the Michael kors letters and on the button. The flap closure can unzip and we give you extra storage and there is two compartments in the actual purse part. All of my packages and with the free little make up sample and or in Ipsy bag. make reasonable offers and I can consider I want this out of my collection ASAP"
1207009,1207009,Garfield Badge Reel,2,Handmade/Accessories/Lanyard,,10.0,1,"Badge Reel for your work or school badges. Custom made, can make anything. Just ask!"
1252693,1252693,NWT First Impressions 4 Piece Layette,1,Kids/Girls 0-24 Mos/Other,,16.0,0,"Brand new in box and never used. First Impressions 4 piece pink and white layette set includes shirt with embroidered crown and ""princess"" print, pants, cap with flower detail, and socks also with flower detail. Size 0-6 months. Perfect for gifting. Bundle with other items for discount! No free shipping. Please do not ask. Baby girl, NB, newborn"
253492,253492,PINK Steelers Hoodie,3,Women/Sweaters/Hooded,PINK,24.0,1,"Victoria's Secret PINK Steelers Hoodie. Back says ""Meet Me In The Endzone"" no cracking on graphics. Worn many times, but still in good condition. Size medium. Has black stripe down each arm. Steelers logo on front."
1230588,1230588,Kendra Scott Morgan's,2,Women/Jewelry/Earrings,Kendra Scott,75.0,1,New Ivory Pearl Morgan Studs in Gold. Price is Firm
1293770,1293770,FREE SHIP: Ribbon Belly Button Ring,1,Women/Jewelry/Rings,,6.0,1,"Brand New! 14 Gauge Surgical Steel. Ships for free through USPS within 3 days :-) Price is firm. Shipping is paid by me so please respect pricing. I do not hold items. Check out my all my items! Everything ships for free! 2$ off any additional items purchased, Just ask ! :-) Thanks for looking! Belly Button Ring Navel Piercing 14G Surgical Steel Body Jewelry New"
869584,869584,MURAD Invisiblur Perfecting Shield SPF,1,Beauty/Skin Care/Face,,9.0,1,"This listing is for: Brand New (1) .17 oz MURAD Invisiblur Perfecting Shield Broad Spectrum SPF 30 / PA+++ Experience flawless, fabulous skin in just one step with Invisiblur Perfecting Shield Broad Spectrum SPF 30 / PA+++. This innovative multi - functional formula gives you an anti - aging treatment, primer, and sun protection in every pump. Invisiblur features a unique Soft - focus Complex to immediately blur and correct; Mushroom peptides combat the signs of aging and a truly invisible sunscreen that leaves no ashy residue. Free Shipping •Bundle and Save [rm] on your 2nd Item •All Items are Brand New and Authentic •Sorry, No Holds •Thank you"
1400462,1400462,Blueberry Muffin Bath Bomb,1,Beauty/Bath & Body/Bath,Bath & Body Works,9.0,1,"✨ Enjoy a Luxurious Spa Bath with The Sugar Shak Collection Bath Bombs! Infused with Vitamin E, Aloe Vera, Coconut Oil, Sweet Almond Oil, and Pure Shea Butter to provide the Ultimate Spa Experience! ✨Set Includes: Two 5 Oz Bath Bomb with this scent: 1: Blueberry Muffin 1: Hawaiian Passion ✨Want a different scent? Choose from any of our available scents below! - Blueberry Muffin - Blue Hawaiian - Carolina Fair - Cinnamon Buns - Cool Cucumber - Eucalyptus & Mint - Hawaiian Passion - Holiday Cheer - Ladies Night Out - Mango Madness - Orange Cream Cupcake - Passionfruit - Sex on the Beach - Soothing Coconut - Strawberry Shortcake - Sweet Dreams - Warm Vanilla 1 - [rm] 2 - [rm] 3 - [rm] 4 - [rm] 5 or more is [rm], plus [rm] for each additional Bath Bomb! FREE SHIPPING ON ALL ORDERS!!! ✨Tags: Bath Fizzie ~ Spa Bath ~ FREE SHIPPING ~ Bath Bomb Bundle ~ Bath Bomb Set ~ Valentines Day Gifts ~ Birthday Gifts ~ Bath Bombs Free Shipping ~ Lush ~ Natural Bath Bombs ~ Bath and Body"
337408,337408,Reserved Baby Girl Bundle - deanasierra,2,Kids/Girls 0-24 Mos/One-Pieces,,22.0,1,Four piece Baby Girl Bundle 1. New Gymboree Romper 3-6M 2. New Baby GAP kimono onesie 6-12M 3. Great condition Hanna Andersson 60/70cm white tights 4. Great condition Baby GAP - 0-6M cream knit tights
845584,845584,Black Sandals Bundle,3,Women/Shoes/Sandals,UNIONBAY,20.0,1,Worn once. No imprints on pad of shoe AE sweater White top Book and coloring book
87116,87116,Nike Tech Fleece Cape,3,Women/Coats & Jackets/Cape,Nike,10.0,1,Used in ok condition still has life i paid 120 for this at nike I have no use for it anymore Any questions lmk It is higher in the back then the front it has thumb holes and a large hood Color greenish aqua ?
305551,305551,Garrison linen spray,2,Home/Cleaning Supplies/Other,,8.0,0,No description yet
249182,249182,FREE SHIPPING! Brown scarf,2,Women/Women's Accessories/Scarves & Wraps,,4.0,1,Beautiful designs on brown scarf. Very thick and warm!
1013997,1013997,Anastasia Brow Stencils!,2,Beauty/Makeup/Eyes,Anastasia Beverly Hills,14.0,0,Brow Stencils!!! Retails [rm] for 5 Comes with: Medium arch High arch Full arch Slim high arch!
1047499,1047499,Herringbone print vest,2,Women/Coats & Jackets/Vest,,36.0,0,•Great like new condition. Black and white with gold detail quilted vest. No signs of wear. •material is not cloth it is more of a silky type of fabric •very soft and comfy I just need a smaller size :( •please shop my closet and make bundle offers desperately need to downsize
1418192,1418192,GREEN METALLIC SPINNER,1,Kids/Toys/Games,,9.0,1,High tech spinner high quality ball bearing Ask me for bundles Light weight Ship it same day or depending on your orders
1418666,1418666,Athleta Tankini Top,3,Women/Swimwear/Two-Piece,Athleta,9.0,0,"Women's Athleta Tankini Top size small. Worn once, in good condition. Thanks for looking! :)"
1453292,1453292,Lularoe Houndstooth Azure Skirt XL,1,Women/Skirts/A-Line,,39.0,0,"BNWT Light & slinky material. Can be worn as a skirt, top, or a SCARF! Roll Tide Roll! Perfect for game days and tailgates"
147604,147604,Mikarose Red & Cream Floral Dress,3,Women/Dresses/Knee-Length,LuLaRoe,13.0,1,Pretty Red and Cream rose floral fit and flare dress from Mikarose. (Not Lularoe! There is no Mikarose option.) Very flattering fit! Short sleeves. There is some slight pilling but can be easily removed with a clothes shaver.
510535,510535,Vintage Sixers Iverson Jersey,3,Sports & Outdoors/Fan Shop/NBA,Nike,24.0,0,Kids size small vintage Sixers Iverson jersey in great condition. Smoke and pet free home.
668281,668281,Municipal Waste em all ORANGE wax vinyl,2,Handmade/Music/Vinyl,,29.0,0,Extremely rare vinyl. Mint. Complete w insert. Outer sleeve is separated on top. Glue has come undone I am selling vinyl from my Personal Collection. I'm not in a hurry to move them so don't bother lowballing. All were pre owned BEFORE ME by vinyl lovers like you. NO inserts / posters unless shown or noted. ALL lps are guaranteed to play ! See my store for more & Bundle for better deals!
335019,335019,Thankful for friends mug,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Rae Dunn,16.0,0,Brand New! Thanksgiving collection!
1425836,1425836,Jordan Cool Grey 11s,3,Kids/Boys (4+)/Shoes,,66.0,0,Size 6Y (6 youth) Fits great Only worn a few times
1157645,1157645,Brazilian bikini,2,Women/Swimwear/Two-Piece,,24.0,0,Absolutely beautiful Brazilian bikini Top is a size M Bottom is a S Very cheeky bottom!
1398115,1398115,Black Levi jeans,3,"Men/Jeans/Slim, Skinny",Levi's®,14.0,0,These pants are in great condition just don't fit me anymore
447323,447323,CoverGirl Foundation Bundle,1,Beauty/Makeup/Face,CoverGirl,16.0,0,Brand new Shade is twany
29575,29575,Another AWESOME STERLING LOT,3,,Stamped,185.0,1,161.5 grams in gorgeous goodies!! Heart necklace is Carolyn Pollack Cuff Bracelet is stamped Mexico 925 and weight is 47.9 grams by itself There's a lot of great items in the lot!
645757,645757,Boys Shoes Bundled For Katie,3,Kids/Boys 2T-5T/Shoes,,15.0,0,"Shaq Shoes Boys Size 10 Great Condition,Worn Once"
478559,478559,Baby Walking Shoes Size 3,3,Kids/Boys 0-24 Mos/Shoes,,12.0,0,Show & Tell White Baby Walking Shoes Size 3 in great condition. Price drop and price is firm final price . Tags baby shoes walking shoes size 3 baby shoes size 3
295045,295045,A&F Flip flops,3,Other/Books/History,,8.0,0,No description yet
1076094,1076094,Transformers Lot,4,Kids/Toys/Action Figures & Statues,Hasbro,14.0,0,"3 Transformers. Megatron is missing missile, Optimus Prime missing front bumper and gun, Starscream missing hands and foot is broken. Still transformable and fun to play with."
887251,887251,Lose Your Belly Diet book,2,Other/Books/Literature & Fiction,,11.0,0,No description yet
1192501,1192501,Women's Doc Martens Sz 7,2,Women/Shoes/Boots,Dr. Martens,69.0,0,"Smooth leather. Have been worn a few times and are mildly worn in. Other than that, in very good condition. Fairly new, bought them a month ago. Comes with box and yellow shoelaces!"
900578,900578,Victoria's Secret Pink Wrap Bralette Med,1,Women/Underwear/Bras,PINK,28.0,1,Ultimate Longline Wrap Bralette size medium in geo print. The black is just for reference. New in packaging. Vs free ship. Retails for [rm].
1278594,1278594,NWT Victoria's Secret Bombshell Tote Bag,1,Women/Women's Handbags/Totes & Shoppers,Victoria's Secret,29.0,0,"18.5"" L x 5.5"" W x 11"" H Bikini Bag can also be used as wallet/cosmetic bag VS Bombshell Tote Brand new with tag in original packaging Perfect for Mother's day gift White Tote with gold pouch"
568726,568726,Lularoe deer leggings with Irma,1,"Women/Athletic Apparel/Pants, Tights, Leggings",LuLaRoe,55.0,1,XXS striped Irma // very soft // OS leggings // deer UNICORN // all brand new
1214601,1214601,TLC American girl doll,3,Kids/Toys/Dolls & Accessories,American Girl ®,45.0,1,"Green eyes, classic mold NO WIG No stains or anything Tight limbs, long neck strings Eyes work Perfect for a custom"
116994,116994,Ralp Lauren Polo boot,3,Kids/Girls 2T-5T/Shoes,Ralph Lauren,16.0,0,Almost like a fuschia pink or berry pink color in great condition
1462039,1462039,LuLaRoe Monroe Kimono,1,Women/Tops & Blouses/Wrap,,34.0,0,"Lularoe Monroe Brand new with tags Size small Coral, red, black, cream and white in color! Almost like zebra print Very pretty! Has black fringe on the bottom ‼️‼️Price is firm- these retail [rm] plus tax!! ❌No free shipping"
1427309,1427309,Pink plastic storage bix-small,1,Home/Storage & Organization/Jewelry Boxes & Organizers,,5.0,1,"No description yet Great for storing jelwery, buttons, beads, safety pins etc. Will ship a.s.a.p :)"
1396767,1396767,4 key chains for Cody,1,Handmade/Accessories/Keychain,,6.0,1,4 key chains shipping Tuesday
983349,983349,*FREE SHIP* THE JUNGLE BOOK DVD,1,Electronics/Media/DVD,,12.0,1,☆Brand New☆
1217859,1217859,@@ black shower speaker,1,Electronics/Cell Phones & Accessories/Cell Phone Accessories,,10.0,1,"Description for shower speaker Support Bluetooth & Wireless transmission. Built-in Microphone, enjoying hand-free call. Adopt high quality audio decode chip ,let you experience perfect sound quality. Built-in charging Battery Built-in high sensitivity Microphone, listening music any where. Unique water-proof design, using in bathroom, sand beach, swimming pool. While leisure, you can relax and enjoy wonderful music. Suck on back side of iPad or other tablet become a stand. Special suction cup design, could sucked on any flat surface including desk, wall, window. Suitable for car, bedroom, wash room, kitchen, office, conference, business trip, vacation etc. Package Content: 1 x Waterproof Bluetooth Speaker 1 x USB Charging cable 1 x Using Manual"
144091,144091,VS strapless bra $ 7,3,Women/Underwear/Bras,Victoria's Secret,11.0,0,Used but still in good condition sz 34DD
767422,767422,‼️SALE‼️black wedge boots size 8,1,Women/Shoes/Boots,,16.0,0,Brand new from Shoedazzle!
964526,964526,Uggs AUTHENTIC,4,Women/Shoes/Boots,,30.0,0,Needs to be cleaned Size 9
917479,917479,Zara booties,2,Women/Shoes/Boots,ZARA,21.0,0,Good cond
132986,132986,Namcomuseum N64 Cartridge,3,Electronics/Video Games & Consoles/Games,Nintendo,6.0,1,No description yet
1154449,1154449,Girls Air Jordan 13,1,Kids/Boys (4+)/Shoes,Nike,70.0,1,Brand new; never worn! New with box Size 7!! Dead stock
1135856,1135856,19 pc Planner Stickers - Banners Edition,2,Other/Office supplies/School Supplies,,3.0,1,"Will be sent in an stamped envelope with NO tracking. Mailing time may vary depending on location and mailing service. Please check your mailbox for product! Also includes a small BONUS surprise item! INFO: - 19 pcs of planner stickers - banners and boxes - glitter and gold Foil accents - correlates with one another - pastel These are great for scrapbooking, planners, journaling , bullet journaling, decorating, crafting and much more! Message me if you have any questions!"
514001,514001,MED PINK VICTORIA'S SECRET,3,Women/Athletic Apparel/Tracksuits & Sweats,Victoria's Secret,20.0,0,"YES, I COMBINE TO SAVE ON SHIPPING, & OFFER DISCOUNTS ON BUNDLES ****NO HOLDS**** ***IF YOU ARE INTERESTED IN MORE THEN 1 ITEM, PLEASE COMMENT ON EACH ITEM ***IF I TAKE THE TIME TO NEGOTIATE AND MAKE A BUNDLE AND YOU DO NOT PURCHASE YOU WILL BE BLOCKED, TIME IS IMPORTANT TO US ALL, I WILL NOT WASTE YOURS SO PLEASE DO NOT WASTE MINE*** Good condition but 2 sm holes on cuff n a couple stones missing"
78809,78809,⚜Fierce Silver stamped ring,1,Women/Jewelry/Rings,,19.0,1,"FREE: Shipping, tracking, packaged securely with love. Please check out my other jewelry offerings, gems, sterling silver and antique pieces waiting for you. Bundles are welcome and encouraged. Just let me know which pieces and I can tell discount amount."
299667,299667,Lululemon Scuba hoodie,2,Women/Athletic Apparel/Jackets,Lululemon,59.0,0,New without tag super soft size 10
885570,885570,Miss Me shorts,2,Women/Athletic Apparel/Shorts,Miss Me,56.0,0,"Miss Me denim jean shorts Buckle exclusive Dark wash with factory fading Thick stitched White / silver / Grey / navy stitching Subtle rhinestone Bling details Flap pocket Size 27 Inseam : 3.25 (including fray) 3"" actual shorts inseam In perfect like new condition with no flaws and zero signs of wear CHEAPER WHEN BUNDLED WITH OTHER ITEMS IN MY CLOSET"
364290,364290,NMD For Women,3,Women/Shoes/Athletic,Adidas,29.0,0,Good condition.
891146,891146,•FREE SHIP• 2 PINK Water Bottle,1,Women/Women's Accessories/Other,PINK,23.0,1,"2 Victoria's Secret PINK Water Bottle ~Slim sport shape ~Fits most cup holders ~Holds up 24 oz. ~Secret compartment ~Easy carrying handle          ~Flip top strawOpen turn lid ~7 1/2 “ x 2 1/2 ’’ x 3 1/4’’ •PRICE is FIRM •NO TRADES •NO HOLDS •PET-FREE, SMOKE-FREE HOME •NEW in PACKAGING •myvanitycloset•"
1219823,1219823,Aloe breve folia,2,Home/Home Décor/Home Décor Accents,,8.0,0,Also known as crocodile plant
92607,92607,GoPro Hero 4 Silver,2,Electronics/Cameras & Photography/Digital Cameras,Go Gear,204.0,0,"GoPro Hero 4 Silver Edition. Used only twice. Comes with waterproof cases, battery pack, usb cable and 64gb SD card. No scratches or scuffs"
901871,901871,Black long sleeve shirt RxB MED,2,Women/Tops & Blouses/T-Shirts,RXB,10.0,1,Black long sleeve shirt- brand RXB -rocker or biker with embroidered and rhinestone and stud designs on front sleeves have a lace crochet Only worn once !!
1262825,1262825,LuMee Duo•,1,Electronics/Cell Phones & Accessories/Cell Phone Accessories,Apple,25.0,1,• The first phone case to have front facing lighting • Professional lighting • Maximum drop protection with protective corners • Rechargeable battery • Tough outer shell with soft rubberized edges • Color: Rose Gold • Fits for iPhone 6/6s/7
706401,706401,2 Workout Shirts,3,Women/Athletic Apparel/Shirts & Tops,Tek Gear,14.0,0,"In good used condition. No smells, holes or wear. Size large."
650581,650581,Distressed High Waisted Jean Shorts,2,Women/Other/Other,American Eagle,12.0,0,"Wow can you say C U T E!!! these distressed Jena shorts are for sure the move for summer music festivals and concerts! Size 2, American eagle, 10/10 condition!!"
53200,53200,3 Nike tshirt deal of the week,1,Men/Tops/T-shirts,Nike,53.0,0,New never worn. Each one retail [rm]
731923,731923,Jeans,2,Women/Jeans/Boot Cut,,7.0,1,Really cute dress up or down there good for both...they are from the top seam to bottom seam of leg 39 inches long..n a size 7 for waist
265349,265349,Michael Kors iPhone 6 Plus case,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Apple,11.0,1,Brand new but selling for [rm] there is a scratch on the inside of case. Once on your phone you can't see it
340297,340297,Pyrex Crazy Daisy #19 Casserole Dish,3,Home/Kitchen & Dining/Cookware,Pyrex,9.0,0,Up for sale is the vintage Pyrex casserole that you see pictured above. As you can see it does show some wear. Still a nice piece. If you receive it and it was damaged in shipping please contact me so that I can resolve the issue.
1222364,1222364,Trolls Set #2,1,Kids/Toys/Party Supplies,Dreamworks,22.0,0,Get all seen Will not break up Price firm
10765,10765,10 pieces of Rubik Cubes,1,Kids/Toys/Puzzles,,15.0,1,No description yet
465160,465160,"Abh brow definer "" medium & dark brown",1,Beauty/Makeup/Eyes,Anastasia Beverly Hills,22.0,0,"Brand new in box, authentic, price non-negotiable"
710266,710266,⭐️NEW⭐️ Victoria's Secret M/L Robe,1,Beauty/Bath & Body/Bathing Accessories,Victoria's Secret,28.0,0,Brand new in the package! This is my last one!!
481899,481899,UGG Logo Hardware Harness Heeled Clog 8,3,Women/Shoes/Mules & Clogs,UGG Australia,45.0,1,"Brand: UGG Australia Style: S/N 5506 Size: 8 Retail: [rm] Material: Leather and sheepskin Condition: Pre-owned. Minimal wear and tear to sole, small white spots/scratches near the logo hardware and toe on the right shoe (as pictured)."
873935,873935,NWT Vs PINK Tote Bag,1,Women/Women's Handbags/Totes & Shoppers,Victoria's Secret,23.0,0,Brand new!
171335,171335,EXPRESS Crop Top,1,Women/Tops & Blouses/Blouse,Express,20.0,1,Black lace NWT
1331846,1331846,Lularoe XXS light pink Irma,3,Women/Tops & Blouses/Tunic,,25.0,1,EUC - worn and washed once per Lularoe directions. Color is slightly lighter than seen in picture. No pilling or wear and tear
630663,630663,PINK Boyshorts,1,Women/Underwear/Panties,PINK,9.0,1,Brand new and in original packaging. Ships today!
451566,451566,BKE Stella Jeans,3,Women/Jeans/Boot Cut,BKE,10.0,0,No description yet
